,WebId,Id,Name,Path,Descriptor,PointClass,PointType,DigitalSetName,EngineeringUnits,Span,Zero,Step,Future,DisplayDigits,Description
0,F1DP7qjp812TukOCueRElcymMwWIwAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNUZUMDAx,35928,Q0Q1-DCS-ML-105FT001,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105FT001,Shredder Flow Lube Oil NDE,classic,Float32,,L/min,50,0,FALSE,FALSE,-5,Shredder Flow Lube Oil NDE
1,F1DP7qjp812TukOCueRElcymMwWYwAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNUZUMDAy,35929,Q0Q1-DCS-ML-105FT002,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105FT002,Shredder Flow Lube Oil DE,classic,Float32,,L/min,50,0,FALSE,FALSE,-5,Shredder Flow Lube Oil DE
2,F1DP7qjp812TukOCueRElcymMwWowAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNUZUMDAz,35930,Q0Q1-DCS-ML-105FT003,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105FT003,Shredder Flow Cooling Water Motor,classic,Float32,,m3/h,50,0,FALSE,FALSE,-5,Shredder Flow Cooling Water Motor
3,F1DP7qjp812TukOCueRElcymMwaYwAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNUxUMDAx,35945,Q0Q1-DCS-ML-105LT001,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105LT001,Lube Oil Upper Tank,classic,Float32,,%,100,0,FALSE,FALSE,-5,Lube Oil Upper Tank
4,F1DP7qjp812TukOCueRElcymMwaowAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNUxUMDAy,35946,Q0Q1-DCS-ML-105LT002,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105LT002,Lube Oil Lower Tank,classic,Float32,,%,100,0,FALSE,FALSE,-5,Lube Oil Lower Tank
5,F1DP7qjp812TukOCueRElcymMwRowAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMDEwQ1VS,35910,Q0Q1-DCS-ML-105MM010CUR,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM010CUR,Shredder Feed A CUR,classic,Float32,,A,750,0,FALSE,FALSE,-5,Shredder Feed A CUR
6,F1DP7qjp812TukOCueRElcymMwR4wAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMDEwU1BE,35911,Q0Q1-DCS-ML-105MM010SPD,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM010SPD,Shredder Feed A SPD,classic,Float32,,rpm,1000,0,FALSE,FALSE,-5,Shredder Feed A SPD
7,F1DP7qjp812TukOCueRElcymMwSIwAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMDExQ1VS,35912,Q0Q1-DCS-ML-105MM011CUR,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM011CUR,Shredder Feed B CUR,classic,Float32,,A,750,0,FALSE,FALSE,-5,Shredder Feed B CUR
8,F1DP7qjp812TukOCueRElcymMwSYwAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMDExU1BE,35913,Q0Q1-DCS-ML-105MM011SPD,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM011SPD,Shredder Feed B SPD,classic,Float32,,rpm,1000,0,FALSE,FALSE,-5,Shredder Feed B SPD
9,F1DP7qjp812TukOCueRElcymMwZ4wAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMDE0Q1VS,35943,Q0Q1-DCS-ML-105MM014CUR,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM014CUR,Shredder Magnet CUR,classic,Float32,,A,10,0,FALSE,FALSE,-5,Shredder Magnet CUR
10,F1DP7qjp812TukOCueRElcymMwaIwAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMDE0UE9X,35944,Q0Q1-DCS-ML-105MM014POW,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM014POW,Shredder Magnet POW,classic,Float32,,kW,100,0,FALSE,FALSE,-5,Shredder Magnet POW
11,F1DP7qjp812TukOCueRElcymMwX4wAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMDQ3Q1VS,35935,Q0Q1-DCS-ML-105MM047CUR,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM047CUR,Lube Oil Motor No.1 CUR,classic,Float32,,A,10,0,FALSE,FALSE,-5,Lube Oil Motor No.1 CUR
12,F1DP7qjp812TukOCueRElcymMwYIwAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMDQ3UE9X,35936,Q0Q1-DCS-ML-105MM047POW,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM047POW,Lube Oil Motor No.1 POW,classic,Float32,,kW,100,0,FALSE,FALSE,-5,Lube Oil Motor No.1 POW
13,F1DP7qjp812TukOCueRElcymMwYYwAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMDQ4Q1VS,35937,Q0Q1-DCS-ML-105MM048CUR,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM048CUR,Lube Oil Motor No.2 CUR,classic,Float32,,A,10,0,FALSE,FALSE,-5,Lube Oil Motor No.2 CUR
14,F1DP7qjp812TukOCueRElcymMwYowAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMDQ4UE9X,35938,Q0Q1-DCS-ML-105MM048POW,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM048POW,Lube Oil Motor No.2 POW,classic,Float32,,kW,100,0,FALSE,FALSE,-5,Lube Oil Motor No.2 POW
15,F1DP7qjp812TukOCueRElcymMwUYwAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxQVA,35921,Q0Q1-DCS-ML-105MM201AP,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM201AP,Shredder Motor Active Power,classic,Float32,,kW,1000,0,FALSE,FALSE,-5,Shredder Motor Active Power
16,F1DP7qjp812TukOCueRElcymMwbYwAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxQ0g,35949,Q0Q1-DCS-ML-105MM201CH,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM201CH,Chute Level Shredder,classic,Float32,,%,100,0,FALSE,FALSE,-5,Chute Level Shredder
17,F1DP7qjp812TukOCueRElcymMwTYwAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxQ1VSQQ,35917,Q0Q1-DCS-ML-105MM201CURA,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM201CURA,Shredder Motor CurrentA,classic,Float32,,A,1000,0,FALSE,FALSE,-5,Shredder Motor CurrentA
18,F1DP7qjp812TukOCueRElcymMwTowAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxQ1VSQg,35918,Q0Q1-DCS-ML-105MM201CURB,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM201CURB,Shredder  Motor CurrentB,classic,Float32,,A,1000,0,FALSE,FALSE,-5,Shredder  Motor CurrentB
19,F1DP7qjp812TukOCueRElcymMwT4wAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxQ1VSQw,35919,Q0Q1-DCS-ML-105MM201CURC,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM201CURC,Shredder  Motor CurrentC,classic,Float32,,A,1000,0,FALSE,FALSE,-5,Shredder  Motor CurrentC
20,F1DP7qjp812TukOCueRElcymMwUowAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxRU5H,35922,Q0Q1-DCS-ML-105MM201ENG,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM201ENG,Shredder Motor Energy,classic,Float32,,MWh,50000,0,FALSE,FALSE,-5,Shredder Motor Energy
21,F1DP7qjp812TukOCueRElcymMwU4wAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxRU5HREVM,35923,Q0Q1-DCS-ML-105MM201ENGDEL,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM201ENGDEL,Shredder Motor Energy Del.,classic,Float32,,MWh,50000,0,FALSE,FALSE,-5,Shredder Motor Energy Del.
22,F1DP7qjp812TukOCueRElcymMwUIwAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxUEY,35920,Q0Q1-DCS-ML-105MM201PF,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM201PF,Shredder  Motor Power Factor,classic,Float32,,,100,0,FALSE,FALSE,-5,Shredder  Motor Power Factor
23,F1DP7qjp812TukOCueRElcymMwSowAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxVkFC,35914,Q0Q1-DCS-ML-105MM201VAB,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM201VAB,Shredder Motor VoltageA-B,classic,Float32,,V,80000,0,FALSE,FALSE,-5,Shredder Motor VoltageA-B
24,F1DP7qjp812TukOCueRElcymMwS4wAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxVkJD,35915,Q0Q1-DCS-ML-105MM201VBC,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM201VBC,Shredder Motor VoltageB-C,classic,Float32,,V,80000,0,FALSE,FALSE,-5,Shredder Motor VoltageB-C
25,F1DP7qjp812TukOCueRElcymMwTIwAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMjAxVkNB,35916,Q0Q1-DCS-ML-105MM201VCA,\\MPGDC-PIMSDB\Q0Q1-DCS-ML-105MM201VCA,Shredder Motor VoltageC-A,classic,Float32,,V,80000,0,FALSE,FALSE,-5,Shredder Motor VoltageC-A